название;тип;адрес;телефон;сайт
Детский сад Magic Castle International School;Детский сад, ясли, центр развития ребёнка, курсы иностранных языков;Лихов пер., 3, стр. 2, Москва;8 (800) 511-20-16;kidclub.xbridge.ru
Территория Счастливого Детства;Детский сад, ясли, центр развития ребёнка, курсы иностранных языков;ул. Фадеева, 4А, Москва;+7 (495) 118-22-23;tsdkids.ru
Детский сад Kidsberry;Детский сад, ясли, начальная школа, частная школа;Хлебный пер., 2/3с2, Москва;+7 (958) 100-15-97;kidzberry.ru
Magic Castle;Детский сад, ясли, центр развития ребёнка, курсы иностранных языков;пер. Чернышевского, 4, стр. 1, Москва;8 (800) 511-20-16;kidclub.xbridge.ru
Smile Fish;Детский сад, ясли, центр развития ребёнка;Малая Грузинская ул., 29, Москва;+7 (925) 333-33-10;smilefish.ru
Каруселька;Детский сад, ясли, центр развития ребёнка;просп. Мира, 71, стр. 5, Москва;+7 (939) 111-53-76;karuselkaclub.ru
Мир Интеллекта;Частная школа, детский сад, ясли, центр развития ребёнка;Тихвинский пер., 7А, стр. 1, Москва;+7 (495) 645-05-33;mirintellekta.ru
Частное дошкольное образовательное учреждение детский сад № 37 Российские Железные Дороги;Детский сад, ясли;Трифоновская ул., 51А, стр. 2, Москва;+7 (495) 684-40-74;ds37rzhd.ru
Горница-Узорница;Детский сад, ясли;ул. Сергея Макеева, 9, Москва;8 (800) 555-95-16;gornica-uzornica.ru
Los ninos;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;Большая Грузинская ул., 40, корп. 1, Москва;+7 (977) 943-82-80;losninos.ru
Sun School;Детский сад, ясли;просп. Мира, 81, Москва;8 (800) 775-60-47;sunschool.ru
Smile Fish;Детский сад, ясли, центр развития ребёнка;Беговая ул., 16, Москва;+7 (925) 333-33-10;smilefish.ru
5 Green;Детский сад, ясли, центр развития ребёнка, курсы иностранных языков;Ходынский бул., 5, корп. 4, Москва;+7 (495) 646-50-07;www.5green.ru
Планета детства;Детский сад, ясли, центр развития ребёнка, дополнительное образование;5-й Монетчиковский пер., 12, стр. 1, Москва;+7 (495) 953-10-69;detstva-centr.ru
Логопедический садик Радость;Детский сад, ясли, логопеды, центр развития ребёнка;просп. Гагарина, 14, микрорайон Красная Горка, Люберцы;+7 (499) 325-35-78;sadik-rad.ru
Частный детский сад Аксиом;Детский сад, ясли, клуб для детей и подростков, центр развития ребёнка;ул. Грина, 34, Москва;+7 (904) 568-19-88;campus-aksiom.ru
Оранжевый жираф;Детский сад, ясли, логопеды, центр развития ребёнка;ул. Москворечье, 4, корп. 6, Москва;+7 (495) 108-42-58;orangesadik.ru
Частный детский сад Rainbow;Детский сад, ясли, логопеды, центр развития ребёнка;256, СНТ Гавриково-1;+7 (499) 653-74-73;частный-детский-сад-бутово.рф
Школа Бенуа;Детский сад, ясли, логопеды, центр развития ребёнка;Братиславская ул., 34, корп. 2, Москва;+7 (904) 567-00-54;benuariya.ru
Академическая гимназия, детский сад;Детский сад, ясли, начальная школа, детский лагерь отдыха;Малая Тульская ул., 7, Москва;+7 (499) 444-66-14;academ-school.ru
Петровская школа;Частная школа, центр развития ребёнка, детский сад, ясли;ул. Юннатов, 1, Москва;+7 (495) 612-41-84;petrovskaja-school.ru
